Altium Designer Pick and Place Locations
D:\PCB\pcb_projects\Instrument droid\Project Outputs for Instrument droid\Pick Place for PCBfinal.csv

========================================================================================================================
File Design Information:

Date:       20-11-23
Time:       10:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C17","22uF","TopLayer","1206_Passive_Capacitor","360.000","1231.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"y","Power Jack","TopLayer","Power_Jack","458.110","2948.465","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","1811.968","721.811","0","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","2120.000","2468.032","0","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U5","MCP6002T-I/SN","TopLayer","SOIC127P600X175-8N","760.000","2630.000","0","0.6 V/us 2 1MHz 1.8V ~ 6V 100µA General Purpose SOIC-8_150mil  Operational Amplifier ROHS"
"U4","ADS1115IDGSR","TopLayer","ADC_ADS1115IDGSR","370.000","1420.000","180","16-Bit ADC with Integrated MUX, PGA, Comparator, Oscillator, and Reference 10-VSSOP -40 to 125"
"U3","DAC IC","TopLayer","MCP4725","430.000","375.079","270","IC DAC 12BIT V-OUT SOT23-6"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","1760.000","1060.000","270","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U1","CH340G","TopLayer","USB_to_serial","1820.000","2310.000","90","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"TP19","10x Probe TP","TopLayer","TP10x_Probe","1750.000","3350.000","0","Test Point 300 mil centers"
"TP18","10x Probe TP","TopLayer","TP10x_Probe","820.000","3030.000","270","Test Point 300 mil centers"
"Mos_TP","10x Probe TP","TopLayer","TP10x_Probe","240.000","1920.000","90","Test Point 300 mil centers"
"VRM_hi","10x Probe TP","TopLayer","TP10x_Probe","510.000","1080.000","270","Test Point 300 mil centers"
"Buzz","10x Probe TP","TopLayer","TP10x_Probe","3510.000","340.000","0","Test Point 300 mil centers"
"Op_Out","10x Probe TP","TopLayer","TP10x_Probe","80.000","1460.000","90","Test Point 300 mil centers"
"Rsense_hi","10x Probe TP","TopLayer","TP10x_Probe","1250.000","3130.000","0","Test Point 300 mil centers"
"DAC_out","10x Probe TP","TopLayer","TP10x_Probe","1100.000","2770.000","270","Test Point 300 mil centers"
"SCL","10x Probe TP","TopLayer","TP10x_Probe","1240.000","120.000","0","Test Point 300 mil centers"
"SDA","10x Probe TP","TopLayer","TP10x_Probe","290.000","110.000","180","Test Point 300 mil centers"
"5V_usb","10x Probe TP","TopLayer","TP10x_Probe","3610.000","3820.000","0","Test Point 300 mil centers"
"3V3_Vcc","10x Probe TP","TopLayer","TP10x_Probe","2570.000","3650.000","270","Test Point 300 mil centers"
"Rx","10x Probe TP","TopLayer","TP10x_Probe","2490.000","80.000","180","Test Point 300 mil centers"
"Tx","10x Probe TP","TopLayer","TP10x_Probe","3500.000","160.000","0","Test Point 300 mil centers"
"D-","10x Probe TP","TopLayer","TP10x_Probe","3610.000","3210.000","0","Test Point 300 mil centers"
"D+","10x Probe TP","TopLayer","TP10x_Probe","3130.000","3200.000","0","Test Point 300 mil centers"
"Power","10x Probe TP","TopLayer","TP10x_Probe","260.000","3380.000","180","Test Point 300 mil centers"
"TP2","10x Probe TP","TopLayer","TP10x_Probe","1260.000","3350.000","0","Test Point 300 mil centers"
"5V_VCC","10x Probe TP","TopLayer","TP10x_Probe","1760.000","3660.000","90","Test Point 300 mil centers"
"SW6","PREC003SAAN-RC","TopLayer","3_PIN_100mil","350.000","2600.000","180","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"SW5","PREC003SAAN-RC","TopLayer","3_PIN_100mil","520.000","1870.000","180","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"SW4","TL3305AF160QG","TopLayer","Switch_JLC","3700.000","2760.000","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW3","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2080.000","400.000","270","2Pin Header"
"SW2","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","1320.000","2250.000","270","2Pin Header"
"SW1","PREC003SAAN-RC","TopLayer","3_PIN_100mil","1230.000","3680.000","270","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R21","0 Ohm","TopLayer","1206_Passive_Resitor","740.000","2400.000","0","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"R20","0 Ohm","TopLayer","1206_Passive_Resitor","600.000","1680.000","180","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"R19","1 Ohm","TopLayer","1206_Passive_Resitor","400.000","1709.000","270","1O ±5% 0.25W ±400ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R18","10 Ohm","TopLayer","1206_Passive_Resitor","830.000","1890.000","90","CHIP RESISTOR - SURFACE MOUNT 0.1OHMS ±1% 1/4W 1206 ROHS"
"R17","10k","TopLayer","1206_Passive_Resitor","570.000","2270.000","270","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R16","10k","TopLayer","1206_Passive_Resitor","890.000","2251.000","270","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R15","1k","TopLayer","1206_Passive_Resitor","1380.000","920.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R14","1k","TopLayer","1206_Passive_Resitor","1240.000","919.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R13","10k","TopLayer","1206_Passive_Resitor","730.000","2060.000","180","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R12","1k","TopLayer","1206_Passive_Resitor","100.000","2730.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R11","1k","TopLayer","1206_Passive_Resitor","1650.000","361.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R10","10k","TopLayer","1206_Passive_Resitor","3059.000","2700.000","0","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R9","1M","TopLayer","1206_Passive_Resitor","2060.000","711.000","90","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R8","1M","TopLayer","1206_Passive_Resitor","2119.000","2630.000","0","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R7","1k","TopLayer","1206_Passive_Resitor","2750.000","2170.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R6","1k","TopLayer","1206_Passive_Resitor","2220.000","1840.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R5","1k","TopLayer","1206_Passive_Resitor","2220.000","1990.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R4","1k","TopLayer","1206_Passive_Resitor","1040.000","3761.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","2800.000","3670.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R2","1k","TopLayer","1206_Passive_Resitor","3660.000","3460.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R1","500m","TopLayer","1206_Passive_Resitor","1481.000","3690.000","0","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS"
"Q1","AO3400A","TopLayer","N-MOSFET","430.000","2260.000","0","MOSFET N Trench 30V 5.7A 1.5V @ 250uA 26.5 m? @ 5.7A,10V SOT-23-3L RoHS"
"PS1","AMS1117-3.3","TopLayer","LDO","2094.921","3680.000","90","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"P2","2P Screw Terminal Block","TopLayer","P_Terminal_block_3.5mm-pitch","160.000","2380.000","270","Green Straight pin 3.5mm  pitch; P=3.5mm  Screw terminal ROHS"
"P1","Power Jack","TopLayer","Power_Jack","448.110","3708.465","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"LED8","Green","TopLayer","LED_1206","279.000","2760.000","180","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED7","Green","TopLayer","LED_1206","1790.000","380.000","270","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED6","Green","TopLayer","LED_1206","2751.000","2310.000","180","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED5","Green","TopLayer","LED_1206","2019.000","1840.000","180","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED4","Red","TopLayer","LED_1206","2020.000","1990.000","180","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED3","Green","TopLayer","LED_1206","3420.000","3460.000","270","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED2","Green","TopLayer","LED_1206","810.000","3690.000","0","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED1","Green","TopLayer","LED_1206","2780.000","3800.000","0","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","1880.000","1380.000","90","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J10","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2850.000","1460.000","270","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL_-Female","950.000","400.000","270","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J8","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL_-Female","650.000","400.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J7","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","3150.000","500.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J6","PPTC101LFBN-RC","TopLayer","10_PIN_100MIL_-_Female","3150.000","1460.000","270","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J5","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-DIG_100MIL","2850.000","500.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J4","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","650.000","1200.000","90","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J3","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","950.000","1200.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","NRPN032PAEN-RC","TopLayer","ICSP","3060.000","2290.000","0","Connector Header Through Hole 6 position 0.079" (2.00mm)"
"J1","USB Mini","TopLayer","USB_MINI_B","3150.000","3690.000","180","Through Hole USB Connectors RoHS"
"D5","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","3400.000","1300.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D4","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","3690.000","1310.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
